ch1-22的行数
ch1,435
ch2,414
ch3,344
ch4,342
ch5,318
ch6,323
ch7,300
ch8,275
ch9,200
ch10,238
ch11,252
ch12,253
ch13,185
ch14,164
ch15,139
ch16,133
ch17,146
ch18,154
ch19,80
ch20,102
ch21,61
ch22,52
Total,4910
A、C、G、T分别出现的次数
A,72376
C,51267
G,50476
T,72441
Totol,246560
M、D、I 分别的频次
M,26361
D,12557
I,8615
Total,47534
"^"后面ACGT分别的次数
A,4518
C,1702
G,1763
T,4574
Total,12557
